,Security Id,Security Name,Group,Industry
852,ANANTRAJ,Anant Raj Limited-$,B ,Realty
853,MADHUDIN,MADHUSUDAN INDUSTRIES LTD.,XT,Edible Oils
855,MADHAV,MADHAV MARBLES &amp; GRANITES LTD.,B ,Construction Materials
858,HINDNATGLS,HINDUSTHAN NATIONAL GLASS &amp; INDUSTRIES LTD.-$,B ,Containers &amp; Packaging
859,MANGTIMBER,MANGALAM TIMBER PRODUCTS LTD.,B ,Forest Products
860,SHREYANIND,SHREYANS INDUSTRIES LTD.-$,B ,Paper &amp; Paper Products
861,STARPAPER,STAR PAPER MILLS LTD.,B ,Paper &amp; Paper Products
862,SARDAPPR,SARDA PAPERS LTD.,XT,Paper &amp; Paper Products
863,ARROWGREEN,Arrow Greentech Ltd,B ,Plastic Products
864,VISHNU,VISHNU CHEMICALS LTD.,T ,Commodity Chemicals
865,JUMBO,JUMBO BAG LTD.,Z ,Containers &amp; Packaging
866,NRAGRINDQ,N.R.AGARWAL INDUSTRIES LTD.,B ,Paper &amp; Paper Products
867,SRPML,SHREE RAJESHWARANAND PAPER MILLS LTD.,XT,Paper &amp; Paper Products
868,PDUMJEIND,PUDUMJEE INDUSTRIES LTD.,T ,Paper &amp; Paper Products
869,SANPA,SANGAL PAPERS LTD.,XT,Paper &amp; Paper Products
870,VENTURA,VENTURA TEXTILES LTD.,XT,Textiles
871,STHINPA,SOUTH INDIA PAPER MILLS LTD.,XT,Paper &amp; Paper Products
872,SCANDENT,Scandent Imaging Limited,XT,Healthcare Services
873,VINDHYATEL,VINDHYA TELELINKS LTD.,B ,Telecom Cables
874,RIR,RUTTONSHA INTERNATIONAL RECTIFIER LTD.,XT,Electronic Components
875,ADORWELD,ADOR WELDING LTD.,B ,Other Industrial Goods
876,IDM,INTERNATIONAL DATA MANAGEMENT LTD.,XT,Consulting Services
877,SALZER,SALZER ELECTRONICS LTD.-$,B ,Other Elect.Equip./ Prod.
878,INDAGIV,IND-AGIV COMMERCE LTD.,Z ,Comm.Trading  &amp; Distribution
881,USHAMART,USHA MARTIN LTD.,B ,Iron &amp; Steel Products
883,SPELS,SPEL SEMICONDUCTOR LTD.,XT,Electronic Components
884,SUBROS,SUBROS LTD.,B ,Auto Parts &amp; Equipment
