,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
6234,539428,TEJNAKSH,Tejnaksh Healthcare Ltd,Active,M ,10.0,INE030T01019,Healthcare Facilities,Equity
6235,539433,INDOGLOBAL,Indo-Global Enterprises Ltd,Active,XT,10.0,INE400S01016,Healthcare Facilities,Equity
6236,539436,COFFEEDAY,Coffee Day Enterprises Ltd,Active,B ,10.0,INE335K01011,Restaurants,Equity
6237,539437,IDFCBANK,IDFC Bank Ltd,Active,A ,10.0,INE092T01019,Banks,Equity
6239,539447,BEARDSELL,Beardsell Ltd,Active,B ,2.0,INE520H01022,Containers &amp; Packaging,Equity
6240,539448,INDIGO,InterGlobe Aviation Ltd,Active,A ,10.0,INE646L01027,Airlines,Equity
6241,539449,IGC,IGC Foils Ltd,Active,XT,10.0,INE099S01016,Comm.Trading  &amp; Distribution,Equity
6242,539450,SHK,S H Kelkar and Company Ltd,Active,B ,10.0,INE500L01026,Personal Products,Equity
6243,539455,DASL,Deepti Alloy Steel Ltd,Active,XT,10.0,INE360S01012,Iron &amp; Steel/Interm.Products,Equity
6248,539469,APUNKA,Apunka Invest Commercial Ltd,Active,XT,10.0,INE258R01010,Comm.Trading  &amp; Distribution,Equity
6250,539481,PARIKSHA,Pariksha Fin- Invest- Lease Ltd,Active,XT,10.0,INE270F01010,Finance (including NBFCs),Equity
6251,539486,GEETANJ,Geetanjali Credit and Capital Ltd,Active,XT,10.0,INE263R01010,Finance (including NBFCs),Equity
6253,539488,TFLL,Tirupati Finlease Ltd,Active,XT,10.0,INE027S01017,Investment Companies,Equity
6255,539493,ADHARSHILA,Adharshila Capital Services Ltd,Active,XT,10.0,INE269F01012,Finance (including NBFCs),Equity
6256,539495,RAJKOTINV,Rajkot Investment Trust Ltd,Active,XT,10.0,INE176R01014,Finance (including NBFCs),Equity
